Core string	old loc string	new loc string	mock id
Capture creative photos with live filters, realistic tattoos & artistic effects.	Capturez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Prenez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	4D
Capture creative photos with live filters, realistic tattoos & artistic effects.	Capturez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Prenez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	xj
Capture professional quality selfies with depth and Photoshop effects.	Capturez des selfies de qualité professionnelle avec de la profondeur et des effets Photoshop.	Prenez des selfies de qualité professionnelle avec de la profondeur et des effets Photoshop.	TM
Get creative with full access to creative contents with blending looks, hundreds of layouts, fun stickers, borders, backgrounds, texts and more!	Soyez créatif et bénéficiez d’un accès complet à des contenus créatifs dotés de mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Soyez créatif et bénéficiez d'un accès complet à des contenus inventifs incluant des mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Bln
Get creative with full access to creative contents with blending looks, hundreds of layouts, fun stickers, borders, backgrounds, texts and more!	Soyez créatif et bénéficiez d’un accès complet à des contenus créatifs dotés de mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Soyez créatif et bénéficiez d'un accès complet à des contenus inventifs incluant des mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Bky
Get creative with full access to creative contents with blending looks, hundreds of layouts, fun stickers, borders, backgrounds, texts and more!	Soyez créatif et bénéficiez d’un accès complet à des contenus créatifs dotés de mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Soyez créatif et bénéficiez d'un accès complet à des contenus inventifs incluant des mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	BkC
Get creative with full access to creative contents with blending looks, hundreds of layouts, fun stickers, borders, backgrounds, texts and more!	Soyez créatif et bénéficiez d’un accès complet à des contenus créatifs dotés de mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Soyez créatif et bénéficiez d'un accès complet à des contenus inventifs incluant des mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Bd3
Get creative with full access to creative contents with blending looks, hundreds of layouts, fun stickers, borders, backgrounds, texts and more!	Soyez créatif et bénéficiez d’un accès complet à des contenus créatifs dotés de mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Soyez créatif et bénéficiez d'un accès complet à des contenus inventifs incluant des mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	BUu
Get creative with full access to creative contents with blending looks, hundreds of layouts, fun stickers, borders, backgrounds, texts and more!	Soyez créatif et bénéficiez d’un accès complet à des contenus créatifs dotés de mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Soyez créatif et bénéficiez d'un accès complet à des contenus inventifs incluant des mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	BVI
Get creative with full access to creative contents with blending looks, hundreds of layouts, fun stickers, borders, backgrounds, texts and more!	Soyez créatif et bénéficiez d’un accès complet à des contenus créatifs dotés de mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Soyez créatif et bénéficiez d'un accès complet à des contenus inventifs incluant des mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	BQj
Get creative with full access to creative contents with blending looks, hundreds of layouts, fun stickers, borders, backgrounds, texts and more!	Soyez créatif et bénéficiez d’un accès complet à des contenus créatifs dotés de mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Soyez créatif et bénéficiez d'un accès complet à des contenus inventifs incluant des mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	BP2
Get creative with full access to creative contents with blending looks, hundreds of layouts, fun stickers, borders, backgrounds, texts and more!	Soyez créatif et bénéficiez d’un accès complet à des contenus créatifs dotés de mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Soyez créatif et bénéficiez d'un accès complet à des contenus inventifs incluant des mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	BNP
Get creative with full access to creative contents with blending looks, hundreds of layouts, fun stickers, borders, backgrounds, texts and more!	Soyez créatif et bénéficiez d’un accès complet à des contenus créatifs dotés de mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Soyez créatif et bénéficiez d'un accès complet à des contenus inventifs incluant des mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	BMS
Get creative with full access to creative contents with blending looks, hundreds of layouts, fun stickers, borders, backgrounds, texts and more!	Soyez créatif et bénéficiez d’un accès complet à des contenus créatifs dotés de mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Soyez créatif et bénéficiez d'un accès complet à des contenus inventifs incluant des mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	BLS
Get creative with full access to creative contents with blending looks, hundreds of layouts, fun stickers, borders, backgrounds, texts and more!	Soyez créatif et bénéficiez d’un accès complet à des contenus créatifs dotés de mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Soyez créatif et bénéficiez d'un accès complet à des contenus inventifs incluant des mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	BI7
Get creative with full access to creative contents with blending looks, hundreds of layouts, fun stickers, borders, backgrounds, texts and more!	Soyez créatif et bénéficiez d’un accès complet à des contenus créatifs dotés de mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Soyez créatif et bénéficiez d'un accès complet à des contenus inventifs incluant des mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	BIU
Get creative with full access to creative contents with blending looks, hundreds of layouts, fun stickers, borders, backgrounds, texts and more!	Soyez créatif et bénéficiez d’un accès complet à des contenus créatifs dotés de mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Soyez créatif et bénéficiez d'un accès complet à des contenus inventifs incluant des mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	BGJ
Get creative with full access to creative contents with blending looks, hundreds of layouts, fun stickers, borders, backgrounds, texts and more!	Soyez créatif et bénéficiez d’un accès complet à des contenus créatifs dotés de mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Soyez créatif et bénéficiez d'un accès complet à des contenus inventifs incluant des mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	4M
Get creative with full access to creative contents with blending looks, hundreds of layouts, fun stickers, borders, backgrounds, texts and more!	Soyez créatif et bénéficiez d’un accès complet à des contenus créatifs dotés de mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	Soyez créatif et bénéficiez d'un accès complet à des contenus inventifs incluant des mélanges de looks, de centaines de mises en page, d’autocollants amusants, de bordures, d’arrière-plans, de textes, et plus encore !	xp
issed a smile in a photo?\nNo worries, add it now 🙂	s avez manqué un sourire sur une photo ?\nPas de problème, ajoutez-le maintenant.	s avez oublié de sourire sur une photo ?\nPas de problème, ajoutez-le maintenant.	BfX
issed a smile in a photo. No worries, add it now.	s avez manqué un sourire sur une photo ? Pas de problème, ajoutez-le maintenant.	s avez oublié de sourire sur une photo ? Pas de problème, ajoutez-le maintenant.	Bl1
issed a smile in a photo. No worries, add it now.	s avez manqué un sourire sur une photo ? Pas de problème, ajoutez-le maintenant.	s avez oublié de sourire sur une photo ? Pas de problème, ajoutez-le maintenant.	BlA
issed a smile in a photo. No worries, add it now.	s avez manqué un sourire sur une photo ? Pas de problème, ajoutez-le maintenant.	s avez oublié de sourire sur une photo ? Pas de problème, ajoutez-le maintenant.	BkQ
issed a smile in a photo. No worries, add it now.	s avez manqué un sourire sur une photo ? Pas de problème, ajoutez-le maintenant.	s avez oublié de sourire sur une photo ? Pas de problème, ajoutez-le maintenant.	Bjb
issed a smile in a photo. No worries, add it now.	s avez manqué un sourire sur une photo ? Pas de problème, ajoutez-le maintenant.	s avez oublié de sourire sur une photo ? Pas de problème, ajoutez-le maintenant.	BjY
issed a smile in a photo. No worries, add it now.	s avez manqué un sourire sur une photo ? Pas de problème, ajoutez-le maintenant.	s avez oublié de sourire sur une photo ? Pas de problème, ajoutez-le maintenant.	Bjh
issed a smile in a photo. No worries, add it now.	s avez manqué un sourire sur une photo ? Pas de problème, ajoutez-le maintenant.	s avez oublié de sourire sur une photo ? Pas de problème, ajoutez-le maintenant.	Bjm
issed a smile in a photo. No worries, add it now.	s avez manqué un sourire sur une photo ? Pas de problème, ajoutez-le maintenant.	s avez oublié de sourire sur une photo ? Pas de problème, ajoutez-le maintenant.	BfO
Authentic & natural skin smoothing	issage authentique et naturel de la peau	issez la peau de vos sujets de façon authentique et naturelle.	Bl3
Authentic & natural skin smoothing	issage authentique et naturel de la peau	issez la peau de vos sujets de façon authentique et naturelle.	BlC
Authentic & natural skin smoothing	issage authentique et naturel de la peau	issez la peau de vos sujets de façon authentique et naturelle.	BkS
Authentic & natural skin smoothing	issage authentique et naturel de la peau	issez la peau de vos sujets de façon authentique et naturelle.	Bje
Authentic & natural skin smoothing	issage authentique et naturel de la peau	issez la peau de vos sujets de façon authentique et naturelle.	Bjo
Authentic & natural skin smoothing	issage authentique et naturel de la peau	issez la peau de vos sujets de façon authentique et naturelle.	Bja
Authentic & natural skin smoothing	issage authentique et naturel de la peau	issez la peau de vos sujets de façon authentique et naturelle.	Bjj
Authentic & natural skin smoothing	issage authentique et naturel de la peau	issez la peau de vos sujets de façon authentique et naturelle.	BfH
Authentic & natural skin smoothing	issage authentique et naturel de la peau	issez la peau de vos sujets de façon authentique et naturelle.	BfQ
Edit a specific section of an image. Auto object selection makes it easy to modify and create unique effects.	ifiez une section spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	ifiez un élément spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	Blz
Edit a specific section of an image. Auto object selection makes it easy to modify and create unique effects.	ifiez une section spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	ifiez un élément spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	BkO
Edit a specific section of an image. Auto object selection makes it easy to modify and create unique effects.	ifiez une section spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	ifiez un élément spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	Bk+
Edit a specific section of an image. Auto object selection makes it easy to modify and create unique effects.	ifiez une section spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	ifiez un élément spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	BeG
Edit a specific section of an image. Auto object selection makes it easy to modify and create unique effects.	ifiez une section spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	ifiez un élément spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	BVU
Edit a specific section of an image. Auto object selection makes it easy to modify and create unique effects.	ifiez une section spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	ifiez un élément spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	BUO
Edit a specific section of an image. Auto object selection makes it easy to modify and create unique effects.	ifiez une section spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	ifiez un élément spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	BQv
Edit a specific section of an image. Auto object selection makes it easy to modify and create unique effects.	ifiez une section spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	ifiez un élément spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	BQD
Edit a specific section of an image. Auto object selection makes it easy to modify and create unique effects.	ifiez une section spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	ifiez un élément spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	BMe
Edit a specific section of an image. Auto object selection makes it easy to modify and create unique effects.	ifiez une section spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	ifiez un élément spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	BMt
Edit a specific section of an image. Auto object selection makes it easy to modify and create unique effects.	ifiez une section spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	ifiez un élément spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	BLd
Edit a specific section of an image. Auto object selection makes it easy to modify and create unique effects.	ifiez une section spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	ifiez un élément spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	BJG
Edit a specific section of an image. Auto object selection makes it easy to modify and create unique effects.	ifiez une section spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	ifiez un élément spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	BIg
Edit a specific section of an image. Auto object selection makes it easy to modify and create unique effects.	ifiez une section spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	ifiez un élément spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	BGU
Edit a specific section of a photo with auto select tool powered by Adobe Sensei	ifiez une section spécifique d’une photo à l’aide de l’outil de sélection automatique optimisé par Adobe Sensei	ifiez un élément spécifique d’une photo à l’aide de l’outil de sélection automatique optimisé par Adobe Sensei	BDc
Edit a specific section of a photo with auto select tool powered by Adobe Sensei.	ifiez une section spécifique d’une photo à l’aide de l’outil de sélection automatique optimisé par Adobe Sensei.	ifiez un élément spécifique d’une photo à l’aide de l’outil de sélection automatique optimisé par Adobe Sensei.	6A
Edit a specific section of an image. Auto object selection makes it easy to modify and create unique effects.	ifiez une section spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	ifiez un élément spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	4Y
Edit a specific section of the photo and create unique effects.	ifiez une section spécifique de la photo et créez des effets uniques.	ifiez un élément spécifique de la photo et créez des effets uniques.	x+
Edit a specific section of an image. Auto object selection makes it easy to modify and create unique effects.	ifiez une section spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	ifiez un élément spécifique d’une image. La sélection automatique d’objets facilite la modification et la création d’effets uniques.	x0
